Address,Parcel ID,Contractor Name,Price,Projected Demolished By Date,Commercial Building,Council_District,Latitude,Longitude,Location,Neighborhood
8067 Vaughan,22098590.024,Salenbien Trucking & Excavating Inc.,33116.00,10/17/2018,No,7,42.351381,-83.23726,"location
(42.351381, -83.23726)",Warrendale
9311 Schaefer,22031101-2,Den-Man Contractors,16420.00,10/17/2018,No,7,42.363822,-83.177991,"location
(42.363822, -83.177991)",We Care Community
9281 Schaefer,22031105-6,Den-Man Contractors,12640.00,10/17/2018,No,7,42.363409,-83.177976,"location
(42.363409, -83.177976)",We Care Community
9407 Carlin,22032119.,Den-Man Contractors,14270.00,10/17/2018,No,7,42.365094,-83.179202,"location
(42.365094, -83.179202)",We Care Community
9185 Decatur,22032395.,Den-Man Contractors,15140.00,10/17/2018,No,7,42.362054,-83.180326,"location
(42.362054, -83.180326)",We Care Community
5725 Balfour,21068732.,Salenbien Trucking & Excavating Inc.,15990.00,08/06/2018,No,4,42.405092,-82.950602,"location
(42.405092, -82.950602)",Morningside
9711 Berkshire,21069289.,Salenbien Trucking & Excavating Inc.,10953.00,08/06/2018,No,4,42.409939,-82.953856,"location
(42.409939, -82.953856)",Outer Drive-Hayes
10901 Mogul,21069540.,Salenbien Trucking & Excavating Inc.,14193.80,08/06/2018,No,4,42.416223,-82.961672,"location
(42.416223, -82.961672)",Outer Drive-Hayes
11229 Craft,21069587.,Salenbien Trucking & Excavating Inc.,16018.80,08/06/2018,No,4,42.418188,-82.964016,"location
(42.418188, -82.964016)",Outer Drive-Hayes
5903 Buckingham,21069786.,Salenbien Trucking & Excavating Inc.,25406.50,08/06/2018,No,4,42.407513,-82.948492,"location
(42.407513, -82.948492)",Morningside
10214 Roxbury,21058785.,Salenbien Trucking & Excavating Inc.,14406.80,08/06/2018,No,4,42.41301,-82.955823,"location
(42.41301, -82.955823)",Outer Drive-Hayes
10351 Roxbury,21059044.,Salenbien Trucking & Excavating Inc.,12833.80,08/06/2018,No,4,42.414006,-82.955804,"location
(42.414006, -82.955804)",Outer Drive-Hayes
5034 Marlborough,21059390.,Salenbien Trucking & Excavating Inc.,11623.00,08/06/2018,No,4,42.39646,-82.957963,"location
(42.39646, -82.957963)",Chandler Park-Chalmers
5939 Marlborough,21059476.,Salenbien Trucking & Excavating Inc.,18665.00,08/06/2018,No,4,42.402899,-82.962543,"location
(42.402899, -82.962543)",Chandler Park-Chalmers
5557 Marlborough,21059504.,Salenbien Trucking & Excavating Inc.,16284.00,08/06/2018,No,4,42.399921,-82.960552,"location
(42.399921, -82.960552)",Chandler Park-Chalmers
10815 Haverhill,21070152.,Salenbien Trucking & Excavating Inc.,12141.80,08/06/2018,No,4,42.415592,-82.962483,"location
(42.415592, -82.962483)",Outer Drive-Hayes
482 Philip,21059965-6,Salenbien Trucking & Excavating Inc.,35023.80,08/06/2018,No,4,42.367587,-82.937768,"location
(42.367587, -82.937768)",Jefferson Chalmers
19510 Goulburn,21032170.,Rickman Enterprise Group,14602.55,09/26/2018,No,3,42.438592,-82.993378,"location
(42.438592, -82.993378)",Pulaski
8526 Kenney,17002856.,Gayanga Co,8860.00,10/15/2018,No,3,42.411659,-83.014421,"location
(42.411659, -83.014421)",Airport Sub
9336 Stout,22101038.,Salenbien Trucking & Excavating Inc.,12629.00,10/17/2018,No,7,42.363426,-83.239286,"location
(42.363426, -83.239286)",Franklin Park
9389 Appoline,22021901.,Den-Man Contractors,24120.00,10/17/2018,No,7,42.365078,-83.16947,"location
(42.365078, -83.16947)",Barton-McFarland
9337 Appoline,22021908.,Den-Man Contractors,12050.00,10/17/2018,No,7,42.364406,-83.169451,"location
(42.364406, -83.169451)",Barton-McFarland
9275 Appoline,22021916.,Den-Man Contractors,19470.00,10/17/2018,No,7,42.363515,-83.169436,"location
(42.363515, -83.169436)",Barton-McFarland
9400 Steel,22022108.,Den-Man Contractors,19040.00,10/17/2018,No,7,42.365261,-83.170013,"location
(42.365261, -83.170013)",Barton-McFarland
19505 Barlow,21033350-1,DMC Consultants,16732.00,09/04/2018,No,3,42.43843,-82.996585,"location
(42.43843, -82.996585)",Pulaski
7601 Ashton,22075916.,Rickman Enterprise Group,14029.40,07/26/2018,No,7,42.347139,-83.217641,"location
(42.347139, -83.217641)",Warrendale
20004 Dresden,21034762.,Rickman Enterprise Group,19013.11,09/26/2018,No,3,42.443752,-82.999804,"location
(42.443752, -82.999804)",Conner Creek
19791 Dresden,21034846.,Salenbien Trucking & Excavating Inc.,19099.65,08/06/2018,No,3,42.441555,-83.000415,"location
(42.441555, -83.000415)",Pulaski
19767 Dresden,21034849.,Rickman Enterprise Group,14846.11,09/26/2018,No,3,42.441226,-83.000401,"location
(42.441226, -83.000401)",Pulaski
19369 Dresden,21034881.,Den-Man Contractors,30010.00,10/17/2018,No,3,42.437391,-83.000247,"location
(42.437391, -83.000247)",Pulaski
9138 Mason Pl,20003631.,Homrich,16858.25,09/02/2018,No,6,42.304668,-83.134931,"location
(42.304668, -83.134931)",Springwells
4164 Lawndale,20006203.,Blue Star,27420.00,09/26/2018,No,6,42.325078,-83.144685,"location
(42.325078, -83.144685)",Claytown
3100 Ethel,20011969.,Den-Man Contractors,13590.00,10/17/2018,No,6,42.263163,-83.156321,"location
(42.263163, -83.156321)",Boynton
1336 Beatrice,20012871.018,Den-Man Contractors,11129.00,10/17/2018,No,6,42.27783,-83.147152,"location
(42.27783, -83.147152)",Boynton
1251 Liddesdale,20013251.,Den-Man Contractors,30490.00,10/17/2018,No,6,42.279353,-83.147551,"location
(42.279353, -83.147551)",Boynton
1455 Liddesdale,20013271-2,Den-Man Contractors,11430.00,10/17/2018,No,6,42.27757,-83.149023,"location
(42.27757, -83.149023)",Boynton
15268 Manning,21023092.,DMC Consultants,12888.00,09/04/2018,No,3,42.440579,-82.964214,"location
(42.440579, -82.964214)",Regent Park
16060 Tacoma,21023505.,DMC Consultants,13363.00,09/04/2018,No,3,42.441662,-82.954683,"location
(42.441662, -82.954683)",Regent Park
8212 Brace,22080984-5,Rickman Enterprise Group,17644.40,08/02/2018,No,7,42.352555,-83.223115,"location
(42.352555, -83.223115)",Warrendale
15905 Evanston,21005349.,Salenbien Trucking & Excavating Inc.,18010.00,08/06/2018,No,4,42.409854,-82.94949,"location
(42.409854, -82.94949)",Outer Drive-Hayes
15801 Tacoma,21023883.,DMC Consultants,15311.00,09/04/2018,No,3,42.442139,-82.958242,"location
(42.442139, -82.958242)",Regent Park
13352 E State Fair,21024151.,Rickman Enterprise Group,18749.55,09/26/2018,No,3,42.44189,-82.987964,"location
(42.44189, -82.987964)",Pulaski
7716 Stahelin,22082822.,Rickman Enterprise Group,13350.40,08/03/2018,No,7,42.348632,-83.224197,"location
(42.348632, -83.224197)",Warrendale
8267 Artesian,22085446.,Salenbien Trucking & Excavating Inc.,15211.00,10/17/2018,No,7,42.353271,-83.226415,"location
(42.353271, -83.226415)",Warrendale
12915 E State Fair,21024299-300,DMC Consultants,14598.00,09/04/2018,No,3,42.442271,-82.992307,"location
(42.442271, -82.992307)",Conner Creek
4414 Three Mile Dr,21071134.,DMC Consultants,20741.00,10/10/2018,No,4,42.399032,-82.937417,"location
(42.399032, -82.937417)",Morningside
4400 Three Mile Dr,21071132.,DMC Consultants,17300.00,10/10/2018,No,4,42.398834,-82.937288,"location
(42.398834, -82.937288)",Morningside
4417 Three Mile Dr,21071303.,DMC Consultants,25207.00,10/10/2018,No,4,42.398788,-82.938003,"location
(42.398788, -82.938003)",Morningside
20419 Andover,09023684.,Gayanga Co,9150.38,10/10/2018,No,3,42.444935,-83.099869,"location
(42.444935, -83.099869)",Nolan
20317 Charleston,09025119.,Gayanga Co,19646.68,10/10/2018,No,3,42.444243,-83.107459,"location
(42.444243, -83.107459)",Nolan
920 Melbourne,05002702.,DMC Consultants,16268.00,09/16/2018,No,5,42.379701,-83.067882,"location
(42.379701, -83.067882)",North End
88 W Arizona,01004579.,Gayanga Co,26039.98,10/15/2018,No,2,42.418853,-83.103569,"location
(42.418853, -83.103569)",Grixdale Farms
20217 Derby,09024771.,Gayanga Co,14348.68,10/10/2018,No,3,42.443782,-83.104316,"location
(42.443782, -83.104316)",Nolan
2160 Canton,15009952.,DMC Consultants,19577.00,09/16/2018,No,5,42.355783,-83.009993,"location
(42.355783, -83.009993)",Islandview
19319 Albion,17014358.,Rickman Enterprise Group,14608.10,09/26/2018,No,3,42.436751,-83.006156,"location
(42.436751, -83.006156)",Pulaski
19338 Beland,17015368.,Rickman Enterprise Group,15279.10,09/26/2018,No,3,42.436992,-83.008675,"location
(42.436992, -83.008675)",Pulaski
16037 Coram,21022186.,DMC Consultants,16341.00,09/04/2018,No,3,42.438568,-82.955044,"location
(42.438568, -82.955044)",Regent Park
15864 Prevost,22055008.,Den-Man Contractors,12020.00,07/26/2018,No,1,42.407773,-83.202765,"location
(42.407773, -83.202765)",Crary/St Marys
8787 Chamberlain,20002364.,Homrich,17664.25,09/02/2018,No,6,42.300686,-83.128595,"location
(42.300686, -83.128595)",Springwells
1977 Oakdale,20008089.,Homrich,18652.25,09/02/2018,No,6,42.307166,-83.133688,"location
(42.307166, -83.133688)",Springwells
15691 Eastburn,21025843.001,Salenbien Trucking & Excavating Inc.,12449.40,08/06/2018,No,3,42.445825,-82.959254,"location
(42.445825, -82.959254)",Regent Park
5564 Chene,11003105.,Den-Man Contractors,22250.00,10/10/2018,Yes,5,42.370899,-83.043892,"location
(42.370899, -83.043892)",Poletown East
5560 Chene,11003104.,Den-Man Contractors,87760.00,10/10/2018,Yes,5,42.370784,-83.043816,"location
(42.370784, -83.043816)",Poletown East
6908 Auburn,22092167.,Able Demolition,13216.80,07/26/2018,No,7,42.342462,-83.232512,"location
(42.342462, -83.232512)",Warrendale
19630 Runyon,17014655.,Rickman Enterprise Group,15029.10,09/26/2018,No,3,42.439102,-83.006663,"location
(42.439102, -83.006663)",Pulaski
8166 Marlowe,22040434.,Den-Man Contractors,16932.00,10/17/2018,No,7,42.353472,-83.187841,"location
(42.353472, -83.187841)",Fiskhorn
19347 Runyon,17014721.,Rickman Enterprise Group,15718.10,09/26/2018,No,3,42.437117,-83.007195,"location
(42.437117, -83.007195)",Pulaski
12400 Whitehill,21058237.005,DMC Consultants,19731.00,09/04/2018,No,4,42.429877,-82.949508,"location
(42.429877, -82.949508)",Moross-Morang
19325 Runyon,17014724.,Rickman Enterprise Group,33650.10,09/26/2018,No,3,42.436821,-83.007185,"location
(42.436821, -83.007185)",Pulaski
19134 Waltham,21032645.,DMC Consultants,23030.00,09/04/2018,No,3,42.435281,-82.994535,"location
(42.435281, -82.994535)",Pulaski
19612 Runyon,17014652-3,Rickman Enterprise Group,15424.10,09/26/2018,No,3,42.438867,-83.006657,"location
(42.438867, -83.006657)",Pulaski
20316 Bradford,21035144.,Rickman Enterprise Group,14580.11,09/26/2018,No,3,42.447036,-83.001152,"location
(42.447036, -83.001152)",Conner Creek
3600 Devonshire,21070356.,DMC Consultants,15067.00,09/16/2018,No,4,42.392033,-82.935273,"location
(42.392033, -82.935273)",Morningside
9204 Bishop,21073642.,Salenbien Trucking & Excavating Inc.,13813.00,08/06/2018,No,4,42.416315,-82.941733,"location
(42.416315, -82.941733)",Yorkshire Woods
6921 Auburn,22092976.,Able Demolition,13597.80,08/23/2018,No,7,42.342643,-83.233196,"location
(42.342643, -83.233196)",Warrendale
4168 Helen,15008858.,DMC Consultants,35478.00,09/16/2018,No,5,42.368563,-83.017115,"location
(42.368563, -83.017115)",Gratiot-Grand
5550 Chene,11003103.,Den-Man Contractors,36140.00,10/10/2018,Yes,5,42.370673,-83.043743,"location
(42.370673, -83.043743)",Poletown East
3627 Mt Elliott,13009875.,Den-Man Contractors,106950.00,07/27/2018,Yes,5,42.361722,-83.022275,"location
(42.361722, -83.022275)",McDougall-Hunt
15035 Hazelridge,21016232.,Gayanga Co,20866.51,10/15/2018,No,4,42.425015,-82.96686,"location
(42.425015, -82.96686)",Mapleridge
16148 Muirland,12011743.,Able Demolition,14710.34,08/23/2018,No,2,42.410786,-83.133441,"location
(42.410786, -83.133441)",Martin Park
8409 W Jefferson,20000053.,DMC Consultants,34025.00,09/11/2018,No,6,42.290517,-83.116877,"location
(42.290517, -83.116877)",Delray
15392 Petoskey,12012906.,Blue Star,17250.00,09/26/2018,No,2,42.404385,-83.138859,"location
(42.404385, -83.138859)",Pilgrim Village
18687 Runyon,17014760.,Rickman Enterprise Group,17778.10,09/26/2018,No,3,42.432038,-83.007438,"location
(42.432038, -83.007438)",Von Steuben
5531 Guilford,21075782.,Salenbien Trucking & Excavating Inc.,9854.25,08/06/2018,No,4,42.410738,-82.929814,"location
(42.410738, -82.929814)",Cornerstone Village
17611 Chester,21003522-3,Salenbien Trucking & Excavating Inc.,14410.00,08/06/2018,No,4,42.419884,-82.930957,"location
(42.419884, -82.930957)",Cornerstone Village
5106 Nottingham,21066454.,Salenbien Trucking & Excavating Inc.,12909.25,08/06/2018,No,4,42.400665,-82.949467,"location
(42.400665, -82.949467)",Morningside
9730 Everts,21072690.,Salenbien Trucking & Excavating Inc.,28303.00,08/06/2018,No,4,42.415415,-82.946668,"location
(42.415415, -82.946668)",Yorkshire Woods
9712 Kensington,21072885.,Salenbien Trucking & Excavating Inc.,12338.50,08/06/2018,No,4,42.415256,-82.944247,"location
(42.415256, -82.944247)",Yorkshire Woods
16274 Eastburn,21025542.,Salenbien Trucking & Excavating Inc.,18123.40,06/27/2018,No,3,42.445416,-82.95211,"location
(42.445416, -82.95211)",Regent Park
9825 Yorkshire,21073298.,Salenbien Trucking & Excavating Inc.,29268.00,08/06/2018,No,4,42.415687,-82.944277,"location
(42.415687, -82.944277)",Yorkshire Woods
6809 Auburn,22092992.,Able Demolition,15755.80,08/23/2018,No,7,42.341107,-83.233143,"location
(42.341107, -83.233143)",Warrendale
2202 E Outer Drive,13008744.,DMC Consultants,30877.00,09/16/2018,No,3,42.439989,-83.067395,"location
(42.439989, -83.067395)",Pershing
6469 Vaughan,22098690.,Able Demolition,11364.80,07/26/2018,No,7,42.338187,-83.236742,"location
(42.338187, -83.236742)",Warrendale
19464 Helen,15009195.,Gayanga Co,8994.00,10/15/2018,No,3,42.438187,-83.03165,"location
(42.438187, -83.03165)",Nortown
8286 Stahelin,22082864.,Salenbien Trucking & Excavating Inc.,16551.00,10/17/2018,No,7,42.353575,-83.224362,"location
(42.353575, -83.224362)",Warrendale
7603 Warwick,22086696.,Rickman Enterprise Group,10898.40,09/26/2018,No,7,42.347043,-83.227389,"location
(42.347043, -83.227389)",Warrendale
7352 Westwood,22089227.,Rickman Enterprise Group,15966.40,09/26/2018,No,7,42.345422,-83.23022,"location
(42.345422, -83.23022)",Warrendale
8424 Minock,22090579.,Salenbien Trucking & Excavating Inc.,16229.00,10/17/2018,No,7,42.354415,-83.231828,"location
(42.354415, -83.231828)",Warrendale
19338 Albion,17014268.,Rickman Enterprise Group,14255.10,09/26/2018,No,3,42.437074,-83.00557,"location
(42.437074, -83.00557)",Pulaski
19352 Albion,17014270.,Rickman Enterprise Group,13952.10,09/26/2018,No,3,42.437271,-83.005576,"location
(42.437271, -83.005576)",Pulaski
19416 Albion,17014279.,Rickman Enterprise Group,13666.10,09/26/2018,No,3,42.438153,-83.005604,"location
(42.438153, -83.005604)",Pulaski
19331 Albion,17014356.,Rickman Enterprise Group,12694.10,09/26/2018,No,3,42.436949,-83.006162,"location
(42.436949, -83.006162)",Pulaski
19181 Albion,17014368.,Rickman Enterprise Group,24128.10,09/26/2018,No,3,42.435595,-83.006113,"location
(42.435595, -83.006113)",Pulaski
19338 Runyon,17014635.,Rickman Enterprise Group,12144.10,09/26/2018,No,3,42.437041,-83.006602,"location
(42.437041, -83.006602)",Pulaski
19195 Runyon,17014733.,Rickman Enterprise Group,14548.10,09/26/2018,No,3,42.435775,-83.007151,"location
(42.435775, -83.007151)",Pulaski
19145 Runyon,17014740.,Rickman Enterprise Group,17918.10,09/26/2018,No,3,42.435084,-83.007131,"location
(42.435084, -83.007131)",Pulaski
9048 Vaughan,22097450.,Salenbien Trucking & Excavating Inc.,16669.50,10/17/2018,No,7,42.360017,-83.23687,"location
(42.360017, -83.23687)",Franklin Park
8279 Braile,22106023.,Rickman Enterprise Group,11734.40,09/26/2018,No,7,42.353114,-83.243439,"location
(42.353114, -83.243439)",Warrendale
19347 Algonac,17015733.,Rickman Enterprise Group,17525.10,09/26/2018,No,3,42.437009,-83.01052,"location
(42.437009, -83.01052)",Pulaski
19147 Blackmoor,17016162.,Rickman Enterprise Group,13024.10,09/26/2018,No,3,42.434959,-83.013583,"location
(42.434959, -83.013583)",Pulaski
19616 Waltham,21032690.,DMC Consultants,15759.00,09/04/2018,No,3,42.440016,-82.994724,"location
(42.440016, -82.994724)",Pulaski
18980 Dresden,21034707.,Den-Man Contractors,16880.00,10/17/2018,No,3,42.433986,-82.999361,"location
(42.433986, -82.999361)",Von Steuben
19918 Dresden,21034751.,Rickman Enterprise Group,15980.11,09/26/2018,No,3,42.442332,-82.999762,"location
(42.442332, -82.999762)",Conner Creek
20115 Dresden,21034818.,Den-Man Contractors,16999.00,10/17/2018,No,3,42.445266,-83.000554,"location
(42.445266, -83.000554)",Conner Creek
19951 Dresden,21034838.,Rickman Enterprise Group,19822.11,09/26/2018,No,3,42.442941,-83.000467,"location
(42.442941, -83.000467)",Conner Creek
19301 Bradford,21035238.,Den-Man Contractors,14570.00,10/17/2018,No,3,42.436463,-83.001421,"location
(42.436463, -83.001421)",Pulaski
19167 Bradford,21035246.,Den-Man Contractors,13580.00,10/17/2018,No,3,42.43559,-83.001368,"location
(42.43559, -83.001368)",Pulaski
7804 Penrod,22077567.,Rickman Enterprise Group,15692.40,07/31/2018,No,7,42.349851,-83.219472,"location
(42.349851, -83.219472)",Warrendale
8000 Faust,22078453.,Rickman Enterprise Group,12911.40,07/31/2018,No,7,42.350686,-83.220723,"location
(42.350686, -83.220723)",Warrendale
5314 University Pl,21077354.,DMC Consultants,15809.00,09/16/2018,No,4,42.412103,-82.924204,"location
(42.412103, -82.924204)",Cornerstone Village
3929 Chatsworth,21069082.,DMC Consultants,15100.00,09/16/2018,No,4,42.392352,-82.94088,"location
(42.392352, -82.94088)",Morningside
4337 Neff,21076350.,DMC Consultants,15871.00,09/16/2018,No,4,42.403301,-82.922445,"location
(42.403301, -82.922445)",Cornerstone Village
13624 Mecca,22006266.,Blue Star,16239.00,09/26/2018,No,7,42.374093,-83.178685,"location
(42.374093, -83.178685)",Paveway
16242 Lappin,21021628.,Salenbien Trucking & Excavating Inc.,27058.40,08/06/2018,No,3,42.43718,-82.952454,"location
(42.43718, -82.952454)",Regent Park
5287 Cecil,18012024.,Homrich,31356.25,09/02/2018,No,6,42.335183,-83.135367,"location
(42.335183, -83.135367)",Claytown
18040 GREENFIELD,22050165.,Able Demolition,21439.34,08/23/2018,No,2,42.421992,-83.199156,"location
(42.421992, -83.199156)",Winship
7714 Archdale,22070941.,Rickman Enterprise Group,16561.40,07/26/2018,No,7,42.348349,-83.214664,"location
(42.348349, -83.214664)",Warren Ave Community
18411 Binder,13021429.,DMC Consultants,303.60,09/16/2018,No,3,42.427556,-83.064263,"location
(42.427556, -83.064263)",Conant Gardens
6897 Rutland,22069101.,Salenbien Trucking & Excavating Inc.,14051.50,10/17/2018,No,7,42.342626,-83.212536,"location
(42.342626, -83.212536)",Warren Ave Community
15785 Cloverlawn,16031298.,Blue Star,30685.00,09/26/2018,No,2,42.407582,-83.152815,"location
(42.407582, -83.152815)",Fitzgerald/Marygrove
5059 Three Mile Dr,21071272.,Salenbien Trucking & Excavating Inc.,52330.25,08/06/2018,No,4,42.403097,-82.940823,"location
(42.403097, -82.940823)",Morningside
12435 Riad,21057682.,DMC Consultants,22462.00,09/04/2018,No,4,42.428897,-82.955031,"location
(42.428897, -82.955031)",Moross-Morang
11666 Ashton,22074911.,Able Demolition,14836.34,08/23/2018,No,7,42.373309,-83.217732,"location
(42.373309, -83.217732)",Southfield Plymouth
7751 Gartner,20003729.,Homrich,17726.25,09/02/2018,No,6,42.309419,-83.123123,"location
(42.309419, -83.123123)",Springwells
11652 Nottingham,21066660.011,DMC Consultants,16026.00,09/16/2018,No,4,42.427423,-82.941585,"location
(42.427423, -82.941585)",Moross-Morang
14465 Rutherford,22056529.,Able Demolition,20619.34,08/23/2018,No,1,42.394015,-83.204101,"location
(42.394015, -83.204101)",Greenfield-Grand River
9112 Witt,20001962.,Gayanga Co,14775.00,10/23/2018,No,6,42.298268,-83.12923,"location
(42.298268, -83.12923)",Springwells
7257 Lane,18000902.,Homrich,21034.25,09/02/2018,No,6,42.309239,-83.119252,"location
(42.309239, -83.119252)",Springwells
1026 Rademacher,18007655.,Homrich,27561.25,09/02/2018,No,6,42.307621,-83.108567,"location
(42.307621, -83.108567)",Central Southwest
16231 Prevost,22055466.,Den-Man Contractors,13470.00,07/27/2018,No,1,42.410106,-83.203655,"location
(42.410106, -83.203655)",Crary/St Marys
400 Eastlawn,21052751.,Salenbien Trucking & Excavating Inc.,14144.80,08/06/2018,No,4,42.363793,-82.942337,"location
(42.363793, -82.942337)",Jefferson Chalmers
13569 Minock,22091336.,Salenbien Trucking & Excavating Inc.,13997.87,07/26/2018,No,1,42.385042,-83.233488,"location
(42.385042, -83.233488)",Schoolcraft Southfield
664 Philip,21059998.,Salenbien Trucking & Excavating Inc.,25721.80,08/06/2018,No,4,42.370305,-82.939581,"location
(42.370305, -82.939581)",Jefferson Chalmers
635 Philip,21060788.,Salenbien Trucking & Excavating Inc.,32034.80,08/06/2018,No,4,42.369702,-82.939945,"location
(42.369702, -82.939945)",Jefferson Chalmers
20026 Waltham,21032723.,Rickman Enterprise Group,18968.56,09/26/2018,No,3,42.444234,-82.994918,"location
(42.444234, -82.994918)",Conner Creek
3468 Three Mile Dr,21071068.,Salenbien Trucking & Excavating Inc.,43516.25,08/06/2018,No,4,42.391913,-82.932749,"location
(42.391913, -82.932749)",Morningside
12745 St Marys,22059235.,Able Demolition,19800.34,08/23/2018,No,1,42.382017,-83.205483,"location
(42.382017, -83.205483)",Schoolcraft Southfield
5277 Ashley,21078674.,Salenbien Trucking & Excavating Inc.,12307.50,08/06/2018,No,4,42.414973,-82.916714,"location
(42.414973, -82.916714)",Cornerstone Village
6757 Buhr,15003974.,DMC Consultants,22374.00,09/04/2018,No,3,42.424419,-83.032462,"location
(42.424419, -83.032462)",Grant
12027 Ashton,22075728.,Able Demolition,13179.34,08/23/2018,No,7,42.374874,-83.218502,"location
(42.374874, -83.218502)",Southfield Plymouth
18461 Teppert,17015145.,Rickman Enterprise Group,14042.10,09/26/2018,No,3,42.429821,-83.008599,"location
(42.429821, -83.008599)",Mount Olivet
15481 Cherrylawn,16033359.,Blue Star,26019.00,09/26/2018,No,2,42.40552,-83.154742,"location
(42.40552, -83.154742)",Fitzgerald/Marygrove
2525 Tyler,10004090.,Gayanga Co,14115.00,07/27/2018,No,5,42.391719,-83.120316,"location
(42.391719, -83.120316)",Dexter-Linwood
15701 Turner,16028035.,Blue Star,25899.00,09/26/2018,No,2,42.406343,-83.148808,"location
(42.406343, -83.148808)",Fitzgerald/Marygrove
15728 Belden,12012278.,Blue Star,28146.00,09/26/2018,No,2,42.406837,-83.135168,"location
(42.406837, -83.135168)",Pilgrim Village
10051 Balfour,21068038.,Salenbien Trucking & Excavating Inc.,12726.50,07/27/2018,No,4,42.414287,-82.949348,"location
(42.414287, -82.949348)",Outer Drive-Hayes
9639 Berkshire,21069292.,Salenbien Trucking & Excavating Inc.,13045.00,08/06/2018,No,4,42.409687,-82.953262,"location
(42.409687, -82.953262)",Outer Drive-Hayes
15730 Petoskey,12012931.,Blue Star,26121.00,09/26/2018,No,2,42.406839,-83.139107,"location
(42.406839, -83.139107)",Pilgrim Village
5234 Tarnow,18012374.,Homrich,25051.25,09/02/2018,No,6,42.333982,-83.136255,"location
(42.333982, -83.136255)",Claytown
15330 Promenade,21008709.,Salenbien Trucking & Excavating Inc.,9983.30,08/06/2018,No,4,42.412605,-82.96293,"location
(42.412605, -82.96293)",Outer Drive-Hayes
15393 Dexter,12010776.,Blue Star,19731.00,09/26/2018,No,2,42.404468,-83.136016,"location
(42.404468, -83.136016)",Pilgrim Village
15764 Belden,12012284.,Blue Star,16091.00,09/26/2018,No,2,42.407329,-83.135187,"location
(42.407329, -83.135187)",Pilgrim Village
13925 Warwick,22086493.,Salenbien Trucking & Excavating Inc.,13783.12,07/28/2018,No,1,42.386927,-83.228819,"location
(42.386927, -83.228819)",Grandmont #1
12835 E State Fair,21024292-3,DMC Consultants,13784.00,09/04/2018,No,3,42.442249,-82.993176,"location
(42.442249, -82.993176)",Conner Creek
657 Navahoe,21046709.,Salenbien Trucking & Excavating Inc.,32984.80,08/06/2018,No,4,42.364612,-82.954723,"location
(42.364612, -82.954723)",Jefferson Chalmers
5267 Ashley,21078675.,Salenbien Trucking & Excavating Inc.,12481.00,08/06/2018,No,4,42.414914,-82.916568,"location
(42.414914, -82.916568)",Cornerstone Village
7345 St John,18002212.,Den-Man Contractors,17500.00,10/17/2018,No,6,42.327546,-83.132461,"location
(42.327546, -83.132461)",Claytown
18111 Sunset,13019833.,DMC Consultants,15555.00,09/16/2018,No,3,42.427611,-83.060954,"location
(42.427611, -83.060954)",Krainz Woods
15717 Cloverlawn,16031309.,Blue Star,30243.00,09/26/2018,No,2,42.406503,-83.152778,"location
(42.406503, -83.152778)",Fitzgerald/Marygrove
668 Navahoe,21046601.,Salenbien Trucking & Excavating Inc.,31859.80,08/06/2018,No,4,42.364958,-82.954342,"location
(42.364958, -82.954342)",Jefferson Chalmers
614 Navahoe,21046592.,Salenbien Trucking & Excavating Inc.,16331.80,08/06/2018,No,4,42.364182,-82.953829,"location
(42.364182, -82.953829)",Jefferson Chalmers
5024 Maryland,21064241.,Salenbien Trucking & Excavating Inc.,25372.00,08/06/2018,No,4,42.398329,-82.952542,"location
(42.398329, -82.952542)",Morningside
11945 Visger,20018729.,Den-Man Contractors,11930.00,10/17/2018,No,6,42.265219,-83.155364,"location
(42.265219, -83.155364)",Boynton
15750 Holmur,12012439.,Blue Star,18089.00,09/26/2018,No,2,42.40712,-83.137148,"location
(42.40712, -83.137148)",Pilgrim Village
18526 Revere,13022428.,DMC Consultants,25747.00,09/16/2018,No,3,42.428936,-83.067373,"location
(42.428936, -83.067373)",Conant Gardens
4585 Radnor,21078455.,DMC Consultants,13605.00,09/16/2018,No,4,42.407845,-82.917395,"location
(42.407845, -82.917395)",Cornerstone Village
1726 Victor,09006586.,DMC Consultants,12998.00,09/16/2018,No,3,42.41228,-83.080882,"location
(42.41228, -83.080882)",North Campau
8844 Burt Rd,22107337.,Rickman Enterprise Group,16977.40,09/26/2018,No,7,42.358168,-83.245235,"location
(42.358168, -83.245235)",Franklin Park
18885 Eureka,13018615.,DMC Consultants,16097.00,09/04/2018,No,3,42.432605,-83.057922,"location
(42.432605, -83.057922)",Krainz Woods
10850 Whitehill,21058128.,Salenbien Trucking & Excavating Inc.,11931.80,08/06/2018,No,4,42.416288,-82.958921,"location
(42.416288, -82.958921)",Outer Drive-Hayes
4048 Neff,21076138.,DMC Consultants,16385.00,09/16/2018,No,4,42.401122,-82.920159,"location
(42.401122, -82.920159)",Cornerstone Village
6317 Plainview,22094876.,Able Demolition,14926.80,08/23/2018,No,7,42.336203,-83.234171,"location
(42.336203, -83.234171)",Warrendale
10215 Roxbury,21059051.,Salenbien Trucking & Excavating Inc.,13558.80,08/06/2018,No,4,42.413238,-82.956371,"location
(42.413238, -82.956371)",Outer Drive-Hayes
17700 Runyon,17014540.,Rickman Enterprise Group,23790.10,09/26/2018,No,3,42.42522,-83.006353,"location
(42.42522, -83.006353)",Von Steuben
